show_id,type,title,director,main_actor,country,date_added,release_year,rating,duration,genre,description
20,TV Show,Jaguar,Unspecified,Blanca Suárez,United States,"September 22, 2021",2021,TV-MA,1 Season,International TV Shows,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,Unknown,United States,"September 22, 2021",2021,TV-14,1 Season,Crime TV Shows,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
22,TV Show,Resurrection: Ertugrul,Unspecified,Engin Altan Düzyatan,Turkey,"September 22, 2021",2018,TV-14,5 Seasons,International TV Shows,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
23,Movie,Avvai Shanmughi,K.S. Ravikumar,Kamal Hassan,United States,"September 21, 2021",1996,TV-PG,161 min,Comedies,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,Alex Woo,Maisie Benson,United States,"September 21, 2021",2021,TV-Y,61 min,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
25,Movie,Jeans,S. Shankar,Prashanth,India,"September 21, 2021",1998,TV-14,166 min,Comedies,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
26,TV Show,Love on the Spectrum,Unspecified,Brooke Satchwell,Australia,"September 21, 2021",2021,TV-14,2 Seasons,Docuseries,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
27,Movie,Minsara Kanavu,Rajiv Menon,Arvind Swamy,United States,"September 21, 2021",1997,TV-PG,147 min,Comedies,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
28,Movie,Grown Ups,Dennis Dugan,Adam Sandler,United States,"September 20, 2021",2010,PG-13,103 min,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
29,Movie,Dark Skies,Scott Stewart,Keri Russell,United States,"September 19, 2021",2013,PG-13,97 min,Horror Movies,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
30,Movie,Paranoia,Robert Luketic,Liam Hemsworth,"United States, India, France","September 19, 2021",2013,PG-13,106 min,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
31,Movie,Ankahi Kahaniya,Ashwiny Iyer Tiwari,Abhishek Banerjee,United States,"September 17, 2021",2021,TV-14,111 min,Dramas,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
32,TV Show,Chicago Party Aunt,Unspecified,Lauren Ash,United States,"September 17, 2021",2021,TV-MA,1 Season,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
33,TV Show,Sex Education,Unspecified,Asa Butterfield,United Kingdom,"September 17, 2021",2020,TV-MA,3 Seasons,British TV Shows,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
34,TV Show,Squid Game,Unspecified,Lee Jung-jae,United States,"September 17, 2021",2021,TV-MA,1 Season,International TV Shows,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
35,TV Show,Tayo and Little Wizards,Unspecified,Dami Lee,United States,"September 17, 2021",2020,TV-Y7,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
36,Movie,The Father Who Moves Mountains,Daniel Sandu,Adrian Titieni,United States,"September 17, 2021",2021,TV-MA,110 min,Dramas,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
37,Movie,The Stronghold,Cédric Jimenez,Gilles Lellouche,United States,"September 17, 2021",2021,TV-MA,105 min,Action & Adventure,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
38,TV Show,Angry Birds,Unspecified,Antti Pääkkönen,Finland,"September 16, 2021",2018,TV-Y7,1 Season,Kids' TV,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
39,Movie,Birth of the Dragon,George Nolfi,Billy Magnussen,"China, Canada, United States","September 16, 2021",2017,PG-13,96 min,Action & Adventure,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
40,TV Show,Chhota Bheem,Unspecified,Vatsal Dubey,India,"September 16, 2021",2021,TV-Y7,3 Seasons,Kids' TV,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
41,TV Show,He-Man and the Masters of the Universe,Unspecified,Yuri Lowenthal,United States,"September 16, 2021",2021,TV-Y7,1 Season,Kids' TV,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
42,Movie,Jaws,Steven Spielberg,Roy Scheider,United States,"September 16, 2021",1975,PG,124 min,Action & Adventure,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
43,Movie,Jaws 2,Jeannot Szwarc,Roy Scheider,United States,"September 16, 2021",1978,PG,116 min,Dramas,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
44,Movie,Jaws 3,Joe Alves,Dennis Quaid,United States,"September 16, 2021",1983,PG,98 min,Action & Adventure,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
45,Movie,Jaws: The Revenge,Joseph Sargent,Lorraine Gary,United States,"September 16, 2021",1987,PG-13,91 min,Action & Adventure,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
46,Movie,My Heroes Were Cowboys,Tyler Greco,Unknown,United States,"September 16, 2021",2021,PG,23 min,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
47,Movie,Safe House,Daniel Espinosa,Denzel Washington,"South Africa, United States, Japan","September 16, 2021",2012,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,Osas Ighodaro,United States,"September 16, 2021",2020,TV-MA,1 Season,International TV Shows,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
49,Movie,Training Day,Antoine Fuqua,Denzel Washington,United States,"September 16, 2021",2001,R,122 min,Dramas,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
50,TV Show,Castle and Castle,Unspecified,Richard Mofe-Damijo,Nigeria,"September 15, 2021",2021,TV-MA,2 Seasons,International TV Shows,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
51,TV Show,Dharmakshetra,Unspecified,Kashmira Irani,India,"September 15, 2021",2014,TV-PG,1 Season,International TV Shows,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Kappei Yamaguchi,Japan,"September 15, 2021",2002,TV-14,99 min,Action & Adventure,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Kappei Yamaguchi,Japan,"September 15, 2021",2003,TV-14,99 min,Action & Adventure,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Kappei Yamaguchi,Japan,"September 15, 2021",2004,TV-PG,88 min,Action & Adventure,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Kappei Yamaguchi,Japan,"September 15, 2021",2001,TV-PG,100 min,Action & Adventure,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
56,TV Show,Nailed It,Unspecified,Nicole Byer,United States,"September 15, 2021",2021,TV-PG,6 Seasons,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Junko Takeuchi,Japan,"September 15, 2021",2011,TV-14,102 min,Action & Adventure,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Junko Takeuchi,Japan,"September 15, 2021",2008,TV-PG,93 min,Action & Adventure,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Junko Takeuchi,Japan,"September 15, 2021",2009,TV-PG,96 min,Action & Adventure,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Junko Takeuchi,Japan,"September 15, 2021",2007,TV-PG,95 min,Action & Adventure,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Junko Takeuchi,Japan,"September 15, 2021",2010,TV-14,85 min,Action & Adventure,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Junko Takeuchi,Japan,"September 15, 2021",2005,TV-PG,97 min,Action & Adventure,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Junko Takeuchi,Japan,"September 15, 2021",2006,TV-PG,95 min,Action & Adventure,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Junko Takeuchi,Japan,"September 15, 2021",2004,TV-PG,83 min,Action & Adventure,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
65,Movie,Nightbooks,David Yarovesky,Winslow Fegley,United States,"September 15, 2021",2021,TV-PG,103 min,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
66,TV Show,Numberblocks,Unspecified,Beth Chalmers,United Kingdom,"September 15, 2021",2021,TV-Y,6 Seasons,Kids' TV,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
67,TV Show,Raja Rasoi Aur Anya Kahaniyan,Unspecified,Unknown,India,"September 15, 2021",2014,TV-G,1 Season,Docuseries,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
68,TV Show,Saved by the Bell,Unspecified,Mark-Paul Gosselaar,United States,"September 15, 2021",1994,TV-PG,9 Seasons,Kids' TV,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series."
69,Movie,Schumacher,Hanns-Bruno Kammertöns,Michael Schumacher,United States,"September 15, 2021",2021,TV-14,113 min,Documentaries,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
70,TV Show,Stories by Rabindranath Tagore,Unspecified,Unknown,India,"September 15, 2021",2015,TV-PG,1 Season,International TV Shows,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
71,TV Show,Too Hot To Handle: Latino,Unspecified,Itatí Cantoral,United States,"September 15, 2021",2021,TV-MA,1 Season,International TV Shows,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
72,Movie,A StoryBots Space Adventure,David A. Vargas,Evan Spiridellis,United States,"September 14, 2021",2021,TV-Y,13 min,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
73,TV Show,Jack Whitehall: Travels with My Father,Unspecified,Jack Whitehall,United Kingdom,"September 14, 2021",2021,TV-MA,5 Seasons,British TV Shows,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
74,Movie,King of Boys,Kemi Adetiba,Sola Sobowale,Nigeria,"September 14, 2021",2018,TV-MA,182 min,Dramas,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
75,TV Show,The World's Most Amazing Vacation Rentals,Unspecified,Unknown,United States,"September 14, 2021",2021,TV-PG,2 Seasons,Reality TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
76,Movie,You vs. Wild: Out Cold,Ben Simms,Bear Grylls,United States,"September 14, 2021",2021,TV-G,106 min,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
77,TV Show,Yowamushi Pedal,Unspecified,Daiki Yamashita,Japan,"September 14, 2021",2013,TV-14,1 Season,Anime Series,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
78,Movie,Little Singham - Black Shadow,Prakash Satam,Sumriddhi Shukla,United States,"September 11, 2021",2021,TV-Y7,48 min,Children & Family Movies,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Vijay Sethupathi,United States,"September 11, 2021",2020,TV-14,145 min,Comedies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,Vijay Sethupathi,United States,"September 11, 2021",2021,TV-14,145 min,Comedies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
81,Movie,Firedrake the Silver Dragon,Tomer Eshed,Thomas Brodie-Sangster,United States,"September 10, 2021",2021,TV-Y7,93 min,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
82,Movie,Kate,Cedric Nicolas-Troyan,Mary Elizabeth Winstead,United States,"September 10, 2021",2021,R,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
83,TV Show,Lucifer,Unspecified,Tom Ellis,United States,"September 10, 2021",2021,TV-14,6 Seasons,Crime TV Shows,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
84,TV Show,Metal Shop Masters,Unspecified,Jo Koy,United States,"September 10, 2021",2021,TV-MA,1 Season,Reality TV,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize."
85,Movie,Omo Ghetto: the Saga,JJC Skillz,Funke Akindele,Nigeria,"September 10, 2021",2020,TV-MA,147 min,Action & Adventure,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
86,TV Show,Pokémon Master Journeys: The Series,Unspecified,Ikue Otani,United States,"September 10, 2021",2021,TV-Y7,1 Season,Anime Series,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!"
87,Movie,Prey,Thomas Sieben,David Kross,United States,"September 10, 2021",2021,TV-MA,87 min,International Movies,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
88,TV Show,Titipo Titipo,Unspecified,Jeon Hae-ri,United States,"September 10, 2021",2019,TV-Y,2 Seasons,Kids' TV,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,Malcolm X,United States,"September 9, 2021",2021,PG-13,96 min,Documentaries,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
90,TV Show,Mighty Raju,Unspecified,Julie Tejwani,United States,"September 9, 2021",2017,TV-Y7,4 Seasons,Kids' TV,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!"
91,Movie,Paradise Hills,Alice Waddington,Emma Roberts,"Spain, United States","September 9, 2021",2019,TV-MA,95 min,Sci-Fi & Fantasy,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
92,Movie,The Women and the Murderer,Mona Achache,Unknown,France,"September 9, 2021",2021,TV-14,92 min,Documentaries,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
93,TV Show,Into the Night,Unspecified,Pauline Etienne,Belgium,"September 8, 2021",2021,TV-MA,2 Seasons,International TV Shows,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.
94,Movie,JJ+E,Alexis Almström,Elsa Öhrn,United States,"September 8, 2021",2021,TV-MA,91 min,Dramas,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
95,Movie,Show Dogs,Raja Gosnell,Will Arnett,"United Kingdom, United States","September 8, 2021",2018,PG,90 min,Children & Family Movies,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
96,TV Show,The Circle,Unspecified,Michelle Buteau,"United States, United Kingdom","September 8, 2021",2021,TV-MA,3 Seasons,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,Ronnie Van Zandt,United States,"September 7, 2021",2018,TV-MA,97 min,Documentaries,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
98,TV Show,Kid Cosmic,Unspecified,Jack Fisher,United States,"September 7, 2021",2021,TV-Y7,2 Seasons,Kids' TV,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.
99,TV Show,Octonauts: Above & Beyond,Unspecified,Antonio Aakeel,United Kingdom,"September 7, 2021",2021,TV-Y,1 Season,British TV Shows,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
100,TV Show,On the Verge,Unspecified,Julie Delpy,"France, United States","September 7, 2021",2021,TV-MA,1 Season,TV Comedies,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
101,TV Show,Tobot Galaxy Detectives,Unspecified,Austin Abell,United States,"September 7, 2021",2019,TV-Y7,2 Seasons,Kids' TV,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil."
102,Movie,Untold: Breaking Point,Chapman Way,Unknown,United States,"September 7, 2021",2021,TV-MA,80 min,Documentaries,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,Unknown,United States,"September 6, 2021",2021,TV-14,1 Season,Docuseries,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
104,Movie,Shadow Parties,Yemi Amodu,Jide Kosoko,United States,"September 6, 2021",2020,TV-MA,117 min,Dramas,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
105,TV Show,Tayo the Little Bus,Unspecified,Robyn Slade,South Korea,"September 6, 2021",2016,TV-Y,2 Seasons,Kids' TV,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
106,Movie,Angamaly Diaries,Lijo Jose Pellissery,Antony Varghese,India,"September 5, 2021",2017,TV-14,128 min,Action & Adventure,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
107,TV Show,Bunk'd,Unspecified,Peyton List,United States,"September 5, 2021",2021,TV-G,5 Seasons,Kids' TV,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
108,Movie,A Champion Heart,David de Vos,Mandy Grace,United States,"September 4, 2021",2018,G,90 min,Children & Family Movies,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
109,TV Show,Dive Club,Unspecified,Aubri Ibrag,Australia,"September 3, 2021",2021,TV-G,1 Season,Kids' TV,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
110,TV Show,La casa de papel,Unspecified,Úrsula Corberó,Spain,"September 3, 2021",2021,TV-MA,5 Seasons,Crime TV Shows,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
111,TV Show,Money Heist: From Tokyo to Berlin,Luis Alfaro,Unknown,United States,"September 3, 2021",2021,TV-MA,1 Season,Docuseries,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
112,TV Show,Sharkdog,Unspecified,Liam Mitchell,"United States, Singapore","September 3, 2021",2021,TV-Y,1 Season,Kids' TV,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
113,Movie,Worth,Sara Colangelo,Michael Keaton,United States,"September 3, 2021",2021,PG-13,119 min,Dramas,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
114,Movie,Afterlife of the Party,Stephen Herek,Victoria Justice,United States,"September 2, 2021",2021,TV-PG,110 min,Comedies,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
115,Movie,Anjaam,Rahul Rawail,Madhuri Dixit,India,"September 2, 2021",1994,TV-14,143 min,Dramas,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
116,Movie,Bright Star,Jane Campion,Abbie Cornish,"United Kingdom, Australia, France","September 2, 2021",2009,PG,119 min,Dramas,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
